Player,Span,Mat,Inns,NO,Runs,HS,Ave
AF Milne,2021-2021,4,3,1,16,15,8.00
R Minz,2025-2025,2,2,-,6,3,3.00
Mohammad Ashraful,2009-2009,1,1,-,2,2,2.00
Mohammad Nabi,2024-2024,7,5,1,35,23,8.75
Mujeeb Ur Rahman,2025-2025,1,-,-,-,-,-
SZ Mulani,2024-2024,2,1,1,1,1*,-
AG Murtaza,2010-2011,8,1,1,2,2*,-
Mustafizur Rahman,2018-2018,7,2,1,1,1,1.00
Naman Dhir,2024-2025,19,15,4,302,62*,27.45
C Nanda,2009-2009,3,1,-,-,-,-
GR Napier,2009-2009,1,1,-,15,15,15.00
AM Nayar,2008-2010,30,24,5,457,45*,24.05
JDS Neesham,2021-2021,3,2,-,-,-,-
A Nehra,2008-2008,14,4,3,3,2*,3.00
A Nel,2008-2008,1,1,-,-,-,-
PP Ojha,2012-2015,38,9,5,10,3,2.50
JDP Oram,2013-2013,1,-,-,-,-,-
MK Pandey,2008-2008,3,2,-,3,3,1.50
HH Pandya,2015-2025,117,106,34,1850,91,25.69
KH Pandya,2016-2021,84,72,22,1143,86,22.86
MM Patel,2011-2013,31,5,4,2,1*,2.00
PA Patel,2015-2017,40,40,1,911,81,23.35
JL Pattinson,2020-2020,10,2,1,15,11,15.00
RV Pawar,2008-2008,1,-,-,-,-,-
NLTC Perera,2012-2012,2,2,1,4,4*,4.00
RJ Peterson,2012-2012,5,5,2,32,16*,10.66
KA Pollard,2010-2022,189,171,52,3412,87*,28.67
SM Pollock,2008-2008,13,8,-,147,33,18.37
RT Ponting,2013-2013,6,5,-,52,28,10.40
RW Price,2011-2011,1,-,-,-,-,-
V Puthur,2025-2025,5,-,-,-,-,-
AM Rahane,2008-2009,10,9,1,148,62*,18.50
RR Raje,2008-2009,10,5,4,20,11*,20.00
PVSN Raju,2025-2025,2,1,1,1,1*,-
Ramandeep Singh,2022-2022,5,4,2,45,14*,22.50
N Rana,2016-2017,17,15,1,437,70,31.21
Rasikh Salam,2019-2019,1,1,1,5,5*,-
AT Rayudu,2010-2017,114,107,18,2416,81*,27.14
RD Rickelton,2025-2025,12,12,1,336,62*,30.54
L Ronchi,2008-2009,5,5,-,34,13,6.80
AS Roy,2019-2019,1,-,-,-,-,-
DR Sams,2022-2022,11,10,3,38,15,5.42
PJ Sangwan,2018-2018,1,1,-,-,-,-
R Sanjay Yadav,2022-2022,1,1,-,-,-,-
MJ Santner,2025-2025,9,5,3,39,18*,19.50
K Santokie,2014-2014,2,-,-,-,-,-
R Sathish,2010-2011,21,14,5,137,24,15.22
PR Shah,2008-2009,14,9,2,87,29,12.42
RA Shaikh,2009-2009,1,-,-,-,-,-
KV Sharma,2017-2025,14,7,1,50,19,8.33
RG Sharma,2011-2025,223,219,24,5758,109*,29.52
R Shepherd,2024-2024,6,5,3,57,39*,28.50
HR Shokeen,2022-2023,13,6,3,66,25,22.00
R Shukla,2012-2012,1,-,-,-,-,-
LMP Simmons,2014-2017,29,29,2,1079,100*,39.96
RP Singh,2012-2012,11,5,3,6,3,3.00
DR Smith,2008-2013,24,22,2,620,87*,31.00
TG Southee,2016-2017,14,5,1,37,25,9.25
BB Sran,2019-2019,2,1,1,3,3*,-
T Stubbs,2022-2023,4,4,-,27,20,6.75
J Suchith,2015-2016,14,6,5,48,34*,48.00
TL Suman,2011-2012,10,9,1,80,36,10.00
P Suyal,2013-2015,5,-,-,-,-,-
A Symonds,2011-2011,11,9,5,135,44*,33.75
YV Takawale,2008-2009,11,5,2,88,27,29.33
AP Tare,2010-2015,29,23,4,313,59,16.47
AS Tendulkar,2023-2024,5,1,-,13,13,13.00
SR Tendulkar,2008-2013,78,78,11,2334,100*,34.83
DJ Thornely,2008-2008,6,4,2,39,30,19.50
N Thushara,2024-2024,7,-,-,-,-,-
NT Tilak Varma,2022-2025,50,47,11,1402,84*,38.94
SS Tiwary,2008-2021,36,30,5,728,61,29.12
JD Unadkat,2022-2022,5,5,2,59,19*,19.66
RV Uthappa,2008-2008,14,14,5,320,48,35.55
R Vinay Kumar,2015-2017,17,5,3,13,12,6.50
Vishnu Vinod,2023-2023,3,3,-,37,30,12.33
N Wadhera,2023-2024,20,16,1,350,64,23.33
L Wood,2024-2024,2,1,1,9,9*,-
J Yadav,2019-2021,9,3,1,34,23,17.00
SA Yadav,2012-2025,108,106,13,3496,103*,37.59
VS Yeligati,2008-2008,2,1,-,2,2,2.00
Yuvraj Singh,2019-2019,4,4,-,98,53,24.50
